Chinese,English
啊 (ā),Ah (ā)
啊 (a),Ah (a)
矮 (ǎi),short (ǎi)
愛／爱 (ài),love/love (ài)
八 (bā),eight (bā)
把 (bǎ),put (bǎ)
吧 (ba),Bar (ba)
白 (bái),white (bái)
百 (bǎi),hundred (bǎi)
擺／摆 (bǎi),to swing/to swing (bǎi)
班 (bān),class (bān)
搬 (bān),move (bān)
半 (bàn),half (bàn)
辦／办 (bàn),do/do (bàn)
飽／饱 (bǎo),full/full (bǎo)
報／报 (bào),report/report (bào)
抱 (bào),hug (bào)
杯 (bēi),cup (bēi)
北 (běi),north (běi)
倍 (bèi),times (bèi)
被 (bèi),Be (bèi)
本 (běn),Ben (běn)
比 (bǐ),than (bǐ)
筆／笔 (bǐ),pen/pen (bǐ)
邊／边 (biān),edge/side (biān)
變／变 (biàn),change/change (biàn)
遍 (biàn),all over (biàn)
表 (biǎo),table (biǎo)
別／别 (bié),farewell / farewell (bié)
病 (bìng),disease (bìng)
不 (bù),No (bù)
布 (bù),cloth (bù)
擦 (cā),rub (cā)
才 (cái),talent (cái)
菜 (cài),dish (cài)
草 (cǎo),grass (cǎo)
層／层 (céng),layer/layer (céng)
茶 (chá),tea
查 (chá),check (chá)
差 (chà),Poor (chà)
常 (cháng),often (cháng)
長／长 (cháng/zhǎng),long/long (cháng/zhǎng)
場／场 (chǎng),field/field (chǎng)
唱 (chàng),sing (chàng)
朝 (cháo),toward (cháo)
車／车 (chē),car/car (chē)
成 (chéng),Cheng (chéng)
城 (chéng),city
吃 (chī),eat (chī)
抽 (chōu),pump (chōu)
出 (chū),to go out (chū)
穿 (chuān),to wear (chuān)
船 (chuán),boat (chuán)
窗 (chuāng),window (chuāng)
床 (chuáng),bed
吹 (chuī),blow (chuī)
春 (chūn),spring (chūn)
詞／词 (cí),word/word (cí)
次 (cì),times (cì)
從／从 (cóng),from/from (cóng)
錯／错 (cuò),wrong/wrong (cuò)
打 (dǎ/dá),to hit (dǎ/dá)
大 (dà/dài),big (dà/dài)
帶／带 (dài),belt/belt (dài)
戴 (dài),wear (dài)
當／当 (dāng/dàng),When/when (dāng/dàng)
刀 (dāo),knife (dāo)
倒 (dào/dǎo/dáo),pour (dào/dǎo/dáo)
到 (dào),to (dào)
道 (dào),Tao (dào)
得 (de/děi/dé),to get (de/děi/dé)
的 (de/dì/dí),of (de/dì/dí)
地 (dì/de),land (dì/de)
燈／灯 (dēng),lamp/lamp (dēng)
等 (děng),Wait (děng)
低 (dī),low (dī)
地 (de/dì),land (de/dì)
第 (dì),No. (dì)
點／点 (diǎn),point/point (diǎn)
電／电 (diàn),electricity/electricity (diàn)
掉 (diào),drop (diào)
丟／丢 (diū),lose/throw (diū)
東／东 (dōng),east/east (dōng)
冬 (dōng),winter (dōng)
懂 (dǒng),understand (dǒng)
動／动 (dòng),move / move (dòng)
都 (dōu/dū),都 (dōu/dū)
讀／读 (dú/dòu),read/read (dú/dòu)
短 (duǎn),short (duǎn)
段 (duàn),Duan
對／对 (duì),Right/pair (duì)
頓／顿 (dùn),Dun / Dun (dùn)
多 (duō),many (duō)
餓／饿 (è),hungry/hungry (è)
二 (èr),Two (èr)
發／髮／发 (fā/fà),发/发/发 (fā/fà)
翻 (fān),translate (fān)
飯／饭 (fàn),rice/rice (fàn)
放 (fàng),put (fàng)
飛／飞 (fēi),fly/fly (fēi)
分 (fēn/fèn),Fen (fēn/fèn)
風／风 (fēng),wind/wind (fēng)
封 (fēng),seal (fēng)
該／该 (gāi),that/that (gāi)
改 (gǎi),change (gǎi)
干 (gān),dry (gān)
敢 (gǎn),Dare (gǎn)
干 (gàn),dry (gàn)
剛／刚 (gāng),Gang/Gang (gāng)
高 (gāo),high (gāo)
搞 (gǎo),do (gǎo)
歌 (gē),song (gē)
個／个 (gè),one/piece (gè)
各 (gè),Each (gè)
給／给 (gěi/jǐ),give/give (gěi/jǐ)
根 (gēn),root (gēn)
跟 (gēn),follow (gēn)
更 (gēng/gèng),Update (gēng/gèng)
夠／够 (gòu),enough/enough (gòu)
刮 (guā),scrape (guā)
掛／挂 (guà),hang/hang (guà)
關／关 (guān),Guan/Guan (guān)
館／馆 (guǎn),Pavilion/Pavillion (guǎn)
貴／贵 (guì),expensive/expensive (guì)
國／国 (guó),country/country (guó)
過／过 (guò),pass/pass (guò)
還／还 (hái/huán),Return/return (hái/huán)
海 (hǎi),sea ​​(hǎi)
喊 (hǎn),shout (hǎn)
好 (hǎo/hào),good (hǎo/hào)
號／号 (hào),Number/number (hào)
喝 (hē/hè),drink (hē/hè)
和 (hé),and (hé)
河 (hé),river (hé)
黑 (hēi),black (hēi)
很 (hěn),Very (hěn)
紅／红 (hóng),red/red (hóng)
後／后 (hòu),after/after (hòu)
湖 (hú),lake (hú)
花 (huā),flower (huā)
畫／画 (huà),draw/paint (huà)
話／话 (huà),words / words (huà)
壞／坏 (huài),bad/bad (huài)
還／还 (huán),return/return (huán)
換／换 (huàn),change/exchange (huàn)
黃／黄 (huáng),yellow/黄 (huáng)
回 (huí),back (huí)
會／会 (huì/kuài),会/会 (huì/kuài)
活 (huó),live (huó)